Texte Origine,mot,phrase,ID phrase,PositionMot,Non-inclusif
Carrière en assurances de dommages,propos,"À propos de nous Institution financière la plus solide en Amérique du Nord, Desjardins est aussi un employeur de choix depuis plusieurs années",0,2,-1
Carrière en assurances de dommages,Institution,"À propos de nous Institution financière la plus solide en Amérique du Nord, Desjardins est aussi un employeur de choix depuis plusieurs années",0,17,0
Carrière en assurances de dommages,Nord,"À propos de nous Institution financière la plus solide en Amérique du Nord, Desjardins est aussi un employeur de choix depuis plusieurs années",0,70,-1
Carrière en assurances de dommages,employeur,"À propos de nous Institution financière la plus solide en Amérique du Nord, Desjardins est aussi un employeur de choix depuis plusieurs années",0,100,1
Carrière en assurances de dommages,choix,"À propos de nous Institution financière la plus solide en Amérique du Nord, Desjardins est aussi un employeur de choix depuis plusieurs années",0,113,-1
Carrière en assurances de dommages,années,"À propos de nous Institution financière la plus solide en Amérique du Nord, Desjardins est aussi un employeur de choix depuis plusieurs années",0,136,-1
Carrière en assurances de dommages,employés,Ses 47 000 employés et ses 5 000 dirigeants contribuent à maintenir sa position de leader des services bancaires en ligne et mobiles,144,11,1
Carrière en assurances de dommages,dirigeants,Ses 47 000 employés et ses 5 000 dirigeants contribuent à maintenir sa position de leader des services bancaires en ligne et mobiles,144,33,1
Carrière en assurances de dommages,position,Ses 47 000 employés et ses 5 000 dirigeants contribuent à maintenir sa position de leader des services bancaires en ligne et mobiles,144,71,-1
Carrière en assurances de dommages,services,Ses 47 000 employés et ses 5 000 dirigeants contribuent à maintenir sa position de leader des services bancaires en ligne et mobiles,144,94,-1
Carrière en assurances de dommages,ligne,Ses 47 000 employés et ses 5 000 dirigeants contribuent à maintenir sa position de leader des services bancaires en ligne et mobiles,144,116,-1
Carrière en assurances de dommages,entreprise,"Une entreprise citoyenne qui place les gens au cœur de ses préoccupations, voilà qui définit bien le Mouvement Desjardins! Pour les postes vacants disponibles au Québec, veuillez noter que la connaissance du français est nécessaire",278,4,-1
Carrière en assurances de dommages,gens,"Une entreprise citoyenne qui place les gens au cœur de ses préoccupations, voilà qui définit bien le Mouvement Desjardins! Pour les postes vacants disponibles au Québec, veuillez noter que la connaissance du français est nécessaire",278,39,-1
Carrière en assurances de dommages,cœur,"Une entreprise citoyenne qui place les gens au cœur de ses préoccupations, voilà qui définit bien le Mouvement Desjardins! Pour les postes vacants disponibles au Québec, veuillez noter que la connaissance du français est nécessaire",278,47,-1
Carrière en assurances de dommages,préoccupations,"Une entreprise citoyenne qui place les gens au cœur de ses préoccupations, voilà qui définit bien le Mouvement Desjardins! Pour les postes vacants disponibles au Québec, veuillez noter que la connaissance du français est nécessaire",278,59,-1
Carrière en assurances de dommages,Mouvement,"Une entreprise citoyenne qui place les gens au cœur de ses préoccupations, voilà qui définit bien le Mouvement Desjardins! Pour les postes vacants disponibles au Québec, veuillez noter que la connaissance du français est nécessaire",278,101,-1
Carrière en assurances de dommages,postes,"Une entreprise citoyenne qui place les gens au cœur de ses préoccupations, voilà qui définit bien le Mouvement Desjardins! Pour les postes vacants disponibles au Québec, veuillez noter que la connaissance du français est nécessaire",278,132,-1
Carrière en assurances de dommages,vacants,"Une entreprise citoyenne qui place les gens au cœur de ses préoccupations, voilà qui définit bien le Mouvement Desjardins! Pour les postes vacants disponibles au Québec, veuillez noter que la connaissance du français est nécessaire",278,139,-1
Carrière en assurances de dommages,connaissance,"Une entreprise citoyenne qui place les gens au cœur de ses préoccupations, voilà qui définit bien le Mouvement Desjardins! Pour les postes vacants disponibles au Québec, veuillez noter que la connaissance du français est nécessaire",278,192,-1
Carrière en assurances de dommages,français,"Une entreprise citoyenne qui place les gens au cœur de ses préoccupations, voilà qui définit bien le Mouvement Desjardins! Pour les postes vacants disponibles au Québec, veuillez noter que la connaissance du français est nécessaire",278,208,-1
